#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 04 23 04 50 999 99.0 99.0  0.41  3.23  3.44 197 1028.8   5.1   5.4 999.0 99.0 99.00
2018 04 23 05 50 999 99.0 99.0  0.44  3.45  3.45 201 1028.8   5.3   5.3 999.0 99.0 99.00
2018 04 23 06 50 999 99.0 99.0  0.41  3.57  3.56 189 1028.9   5.1   5.3 999.0 99.0 99.00
2018 04 23 07 50 999 99.0 99.0  0.37  3.33  3.73 195 1029.2   5.4   5.3 999.0 99.0 99.00
2018 04 23 08 50 999 99.0 99.0  0.36  3.33  3.93 188 1029.4   5.0   5.3 999.0 99.0 99.00
2018 04 23 09 50 999 99.0 99.0  0.35 14.81  4.30  92 1030.1   4.5   5.3 999.0 99.0 99.00
2018 04 23 10 50 999 99.0 99.0  0.31 14.81  4.48 121 1031.0   5.7   5.2 999.0 99.0 99.00
2018 04 23 11 50 999 99.0 99.0  0.30 14.81  4.58 200 1031.5   7.3   5.2 999.0 99.0 99.00
2018 04 23 12 50 999 99.0 99.0  0.30 14.81  5.02  57 1032.1   7.4   5.3 999.0 99.0 99.00
2018 04 23 13 50 999 99.0 99.0  0.28 16.00  5.07  32 1032.7   7.6   5.4 999.0 99.0 99.00
2018 04 23 14 50 999 99.0 99.0  0.28 13.79  5.40 177 1032.9   7.9   5.5 999.0 99.0 99.00
2018 04 23 15 50 999 99.0 99.0  0.26  8.33  5.13 137 1032.7   8.4   5.8 999.0 99.0 99.00
2018 04 23 16 50 999 99.0 99.0  0.27 14.81  5.28 103 1032.4   8.4   6.2 999.0 99.0 99.00
2018 04 23 17 50 999 99.0 99.0  0.25 99.00  5.33 999 1032.2   8.4   6.5 999.0 99.0 99.00
2018 04 23 18 50 999 99.0 99.0  0.24 99.00  5.36 999 1031.5   8.5   6.8 999.0 99.0 99.00
2018 04 23 19 50 999 99.0 99.0  0.23 99.00  5.58 999 1030.8   8.5   7.1 999.0 99.0 99.00
2018 04 23 20 50 999 99.0 99.0  0.24 99.00  5.71 999 1030.1   8.7   7.1 999.0 99.0 99.00
