#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2010,1,10,13,50,350,10.9,13.3,1.65,4.55,4.28,,1016.6,-8.5,6.6,-11.0,,
2010,1,10,14,50,342,9.8,12.5,1.42,4.76,4.1,,1017.0,-8.1,6.6,-11.3,,
2010,1,10,15,50,342,9.5,11.4,1.35,4.55,4.01,,1016.6,-7.8,6.6,-12.5,,
2010,1,10,16,50,337,8.2,11.0,1.13,3.85,3.73,,1016.0,-7.5,6.7,-12.6,,
2010,1,10,17,50,332,8.1,10.3,1.06,4.17,3.83,,1015.4,-7.5,6.6,-13.6,,
2010,1,10,18,50,325,8.9,11.8,0.99,4.17,3.8,,1014.9,-6.8,6.6,-13.7,,
2010,1,10,19,50,322,8.8,11.9,1.0,4.0,3.71,,1014.9,-6.2,6.5,-13.7,,
2010,1,10,20,50,323,9.7,12.2,1.17,4.35,3.84,,1014.8,-5.6,6.5,-13.4,,
2010,1,10,21,50,323,9.2,11.8,1.21,4.17,3.92,,1015.1,-5.9,6.5,-14.0,,
2010,1,10,22,50,317,9.9,13.6,1.22,4.35,3.83,,1015.2,-5.8,6.6,-13.8,,
2010,1,10,23,50,321,8.9,11.1,1.07,4.55,3.89,,1015.4,-5.8,6.6,-13.8,,
2010,1,11,0,50,317,8.8,11.1,1.07,4.35,3.82,,1015.6,-5.8,6.6,-14.1,,
2010,1,11,1,50,322,9.4,11.3,1.02,4.35,3.75,,1015.6,-5.9,6.8,-13.1,,
2010,1,11,2,50,325,9.2,11.4,1.06,4.35,3.76,,1015.3,-5.7,6.7,-11.5,,
2010,1,11,3,50,317,9.1,11.1,0.88,4.17,3.55,,1015.4,-5.3,6.7,-10.0,,
2010,1,11,4,50,313,9.3,12.5,1.01,4.35,3.69,,1015.1,-5.2,6.7,-9.9,,
2010,1,11,5,50,312,10.1,11.9,1.17,4.55,3.81,,1014.6,-4.9,6.8,-9.0,,
2010,1,11,6,50,318,10.8,12.6,1.15,4.35,3.59,,1014.5,-4.9,6.8,-9.2,,
2010,1,11,7,50,314,9.7,11.6,1.04,4.55,3.64,,1014.4,-4.8,6.7,-9.0,,
2010,1,11,8,50,311,9.1,11.6,0.98,4.17,3.6,,1014.0,-4.5,6.8,-8.7,,
2010,1,11,9,50,311,10.1,13.5,0.92,4.17,3.5,,1013.7,-4.1,6.7,-8.4,,
2010,1,11,10,50,313,9.6,11.8,0.95,4.0,3.49,,1013.9,-3.9,6.6,-8.3,,
