YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1999,1,11,6,,257,2.6,4.2,1.5,11.11,9.7,,1014.8,-4.9,,,,
1999,1,11,7,,211,5.1,7.6,1.61,10.0,9.43,,1014.4,-4.0,,,,
1999,1,11,8,,210,7.2,10.3,1.64,11.11,9.67,,1013.5,-3.0,,,,
1999,1,11,9,,215,9.9,13.0,1.67,11.11,6.91,,1012.5,-2.3,,,,
1999,1,11,10,,232,11.5,14.3,1.74,11.11,5.94,,1012.3,-2.5,,,,
1999,1,11,11,,237,10.6,13.0,1.54,11.11,5.21,,1012.8,-3.9,,,,
1999,1,11,12,,241,8.6,10.6,1.5,11.11,5.54,,1013.4,-5.0,,,,
1999,1,11,13,,263,9.8,11.9,1.49,10.0,5.44,,1013.5,-4.9,,,,
1999,1,11,14,,259,9.4,10.8,1.5,10.0,5.48,,1014.2,-4.5,,,,
1999,1,11,15,,257,9.1,11.5,1.5,11.11,5.53,,1015.0,-4.6,,,,
1999,1,11,16,,255,8.5,10.9,1.66,10.0,6.52,,1014.9,-4.5,,,,
1999,1,11,17,,266,9.8,11.8,1.41,10.0,5.52,,1014.4,-4.3,,,,
1999,1,11,18,,268,8.4,11.3,1.34,11.11,5.95,,1014.6,-4.0,,,,
1999,1,11,19,,261,8.3,11.8,1.42,11.11,6.04,,1014.8,-3.9,,,,
1999,1,11,20,,274,10.2,12.4,1.41,11.11,6.22,,1015.4,-3.4,,,,
1999,1,11,21,,272,10.8,13.9,1.31,11.11,5.41,,1016.3,-4.0,,,,
1999,1,11,22,,269,9.8,12.1,1.29,11.11,4.92,,1017.5,-4.6,,,,
1999,1,11,23,,264,10.8,14.2,1.25,11.11,5.06,,1018.8,-5.0,,,,
1999,1,12,0,,263,11.2,14.5,1.31,11.11,5.21,,1019.9,-5.7,,,,
1999,1,12,1,,262,9.7,12.4,1.18,11.11,4.9,,1020.4,-6.0,,,,
1999,1,12,2,,255,8.3,11.9,1.29,11.11,6.14,,1020.8,-6.2,,,,
1999,1,12,3,,250,9.3,11.6,1.22,11.11,5.23,,1021.1,-6.3,,,,
1999,1,12,4,,263,6.6,9.2,1.15,11.11,5.43,,1021.0,-6.8,,,,
1999,1,12,5,,237,6.2,8.1,1.08,10.0,5.84,,1020.8,-6.7,,,,
1999,1,12,6,,235,7.7,9.1,1.1,11.11,5.8,,1021.0,-6.7,,,,
1999,1,12,7,,229,7.8,10.5,1.18,11.11,5.47,,1020.4,-6.1,,,,
1999,1,12,8,,198,6.2,8.2,1.08,11.11,5.26,,1018.8,-5.9,,,,
1999,1,12,9,,188,8.8,12.1,1.0,10.0,4.74,,1016.8,-4.5,,,,
1999,1,12,10,,196,10.8,12.7,1.35,4.35,4.44,,1016.2,-3.6,,,,
1999,1,12,11,,188,9.7,11.8,1.55,4.76,4.5,,1014.4,-2.1,,,,
1999,1,12,12,,178,10.5,12.9,1.64,5.0,4.59,,1012.6,-0.9,,,,
1999,1,12,13,,304,5.2,7.0,2.07,5.88,5.19,,1012.4,-4.0,,,,
1999,1,12,14,,312,4.3,5.7,1.86,6.67,5.37,,1011.7,-5.4,,,,
1999,1,12,15,,292,4.7,6.3,2.53,7.69,6.24,,1012.5,-5.8,,,,
1999,1,12,16,,252,5.1,6.9,2.18,7.14,6.25,,1012.2,-4.5,,,,
1999,1,12,17,,231,6.5,7.6,2.24,7.69,6.37,,1011.5,-2.4,,,,
1999,1,12,18,,249,5.2,6.8,2.22,7.69,6.33,,1011.5,-1.4,,,,
1999,1,12,19,,247,5.6,6.5,2.14,7.69,6.25,,1012.1,0.3,,,,
1999,1,12,20,,217,5.9,7.4,2.11,7.69,6.23,,1012.6,1.8,,,,
1999,1,12,21,,226,5.3,6.4,2.02,7.69,6.14,,1013.0,2.7,,,,
1999,1,12,22,,325,2.5,3.4,1.87,8.33,6.04,,1014.7,1.2,,,,
1999,1,12,23,,340,3.1,4.3,1.94,7.69,6.18,,1016.0,1.3,,,,
1999,1,13,0,,10,4.5,5.5,1.73,9.09,6.35,,1017.1,0.5,,,,
1999,1,13,1,,28,4.4,5.2,1.45,8.33,6.02,,1017.6,0.4,,,,
1999,1,13,2,,16,4.3,5.5,1.37,7.69,6.02,,1018.2,0.0,,,,
1999,1,13,3,,37,3.6,4.8,1.29,8.33,5.97,,1019.1,-0.6,,,,
