YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 08 15 306  6.0  8.0   .54  3.33  3.31 999 1005.4  -6.1   5.9 999.0 99.0
97 01 08 16 310  6.8  8.6   .51  3.12  3.30 999 1005.4  -5.5   5.9 999.0 99.0
97 01 08 17 313  7.7 10.1   .59  3.12  3.20 999 1005.3  -4.5   5.9 999.0 99.0
97 01 08 18 315  8.1 10.2   .51  2.78  3.18 999 1004.9  -3.4   5.9 999.0 99.0
97 01 08 19 318  6.9  8.9   .57  2.70  3.18 999 1005.5  -2.1   5.9 999.0 99.0
97 01 08 20 315  8.8 10.8   .58  3.33  3.25 999 1006.2  -1.5   5.9 999.0 99.0
97 01 08 21 309  8.0 11.2   .57  3.12  3.13 999 1007.2  -1.6   5.8 999.0 99.0
97 01 08 22 309  8.0  9.8   .51  2.86  3.14 999 1007.9  -2.2   5.5 999.0 99.0
97 01 08 23 303  7.3  8.6   .52  3.03  3.21 999 1008.3  -2.7   5.6 999.0 99.0
97 01 09 00 303  6.7  8.7   .48  3.45  3.29 999 1009.4  -3.6   5.8 999.0 99.0
97 01 09 01 317  5.8  8.2   .54  3.12  3.21 999 1010.0  -4.2   5.5 999.0 99.0
97 01 09 02 304  7.8  9.7   .41  3.12  3.21 999 1010.3  -4.2   5.5 999.0 99.0
97 01 09 03 302  7.0  9.1   .41  2.78  3.03 999 1010.2  -4.3   5.6 999.0 99.0
97 01 09 04 311  6.5  8.7   .31  2.63  3.25 999 1010.3  -4.6   5.5 999.0 99.0
97 01 09 05 310  5.9  7.4   .28  2.50  3.46 999 1010.2  -4.3   5.2 999.0 99.0
97 01 09 06 294  6.3  7.9   .29 10.00  3.59 999 1010.4  -4.4   5.2 999.0 99.0
97 01 09 07 282  5.7  7.3   .29  2.50  3.39 999 1011.2  -4.5   5.5 999.0 99.0
97 01 09 08 281  5.1  6.5   .32  2.78  3.33 999 1011.8  -4.2   5.8 999.0 99.0
97 01 09 09 297  3.7  5.4   .34  2.70  3.35 999 1011.7  -4.8   5.8 999.0 99.0
97 01 09 10 274  4.2  6.8   .32  2.70  3.31 999 1011.9  -3.8   5.9 999.0 99.0
97 01 09 11 268  5.5  6.9   .27  9.09  3.73 999 1011.9  -3.4   5.5 999.0 99.0
97 01 09 12 281  7.1  8.4   .29  2.50  3.64 999 1011.8  -3.4   5.5 999.0 99.0
97 01 09 13 277  8.9 10.9   .48  2.78  3.26 999 1011.7  -3.6   5.6 999.0 99.0
97 01 09 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 15 307  6.6  8.2   .36  4.76  3.64 999 1011.7  -2.2   5.6 999.0 99.0
97 01 09 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 17 329  6.5  8.0   .26  2.50  3.67 999 1009.4    .4   5.9 999.0 99.0
97 01 09 18 329  5.2  6.5   .25  2.50  3.47 999 1009.7   1.1   5.9 999.0 99.0
97 01 09 19 304  2.9  4.0   .22 10.00  4.79 999 1010.0   1.2   5.9 999.0 99.0
97 01 09 20 319  2.5  3.6   .21  9.09  4.94 999 1008.8   1.3   6.0 999.0 99.0
97 01 09 21 307  1.5  2.1   .22  9.09  6.00 999 1008.8   1.3   5.8 999.0 99.0
97 01 09 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 23  35   .6  1.3   .24  8.33  5.28 999 1008.0   1.3   4.8 999.0 99.0
97 01 10 00  31  3.3  4.3   .23  9.09  6.15 999 1007.3   1.6   4.7 999.0 99.0
97 01 10 01  52  4.4  5.5   .21  8.33  6.04 999 1006.5   1.7   5.1 999.0 99.0
97 01 10 02  66  5.1  6.2   .20  8.33  5.65 999 1006.0   1.9   5.2 999.0 99.0
97 01 10 03  90  6.7  7.9   .27  7.69  3.91 999 1005.4   2.0   5.1 999.0 99.0
97 01 10 04 100  6.8  8.9   .43  2.94  3.28 999 1004.0   1.6   5.1 999.0 99.0
97 01 10 05 105  9.3 11.0   .55  3.12  3.28 999 1001.7   1.0   5.2 999.0 99.0
97 01 10 06  98 11.9 14.7   .87  3.70  3.55 999  998.1   1.6   5.2 999.0 99.0
97 01 10 07  97 10.0 11.9  1.21  4.55  4.00 999  998.0   2.5   5.3 999.0 99.0
97 01 10 08  89  7.7  9.1  1.46  5.00  4.50 999  996.8   3.1   5.5 999.0 99.0
97 01 10 09  79  7.6  9.3  1.56  5.56  4.77 999  995.2   3.7   5.5 999.0 99.0
97 01 10 10  85  9.0 10.9  1.71  5.88  4.91 999  993.4   3.8   4.8 999.0 99.0
97 01 10 11  82  7.8 10.4  1.86  6.25  5.13 999  992.2   3.6   5.1 999.0 99.0
97 01 10 12  48  5.5  6.8  2.03  6.67  5.50 999  990.7   4.0   4.8 999.0 99.0
97 01 10 13  14  7.0  8.6  2.55  7.69  5.85 999  989.4   -.2   4.7 999.0 99.0
97 01 10 14 360  8.4 10.4  3.12  9.09  6.46 999  987.7    .1   4.7 999.0 99.0
97 01 10 15   2  7.8 10.3  3.27  9.09  6.99 999  986.1   -.3   4.7 999.0 99.0
97 01 10 16 356  3.7  5.2  3.34 10.00  7.26 999  984.2   -.5   4.7 999.0 99.0
97 01 10 17 310  2.1  2.9  3.55 10.00  7.50 999  983.1  -1.1   5.1 999.0 99.0
97 01 10 18 284  2.5  3.4  3.65 10.00  7.56 999  983.1  -2.0   5.5 999.0 99.0
97 01 10 19 254  3.6  4.4  3.14 10.00  7.44 999  983.8  -1.4   5.7 999.0 99.0
97 01 10 20 238 10.9 13.3  3.01 10.00  7.36 999  984.0    .7   5.6 999.0 99.0
97 01 10 21 240 12.5 15.3  2.77 10.00  6.93 999  984.6   2.8   5.6 999.0 99.0
97 01 10 22 238 12.4 15.4  2.61 10.00  6.60 999  985.9   3.1   5.8 999.0 99.0
97 01 10 23 248 11.3 13.8  2.31  9.09  6.10 999  987.9   2.8   5.8 999.0 99.0
97 01 11 00 249 12.5 15.8  2.28  9.09  6.16 999  990.1   2.3   5.9 999.0 99.0
97 01 11 01 248 13.2 17.3  2.01  9.09  5.47 999  991.4   1.7   5.6 999.0 99.0
97 01 11 02 250 12.8 15.6  1.91  8.33  5.23 999  993.0   1.2   5.5 999.0 99.0
97 01 11 03 245 11.8 14.6  1.64  7.69  5.10 999  994.4    .9   5.2 999.0 99.0
97 01 11 04 239 12.2 14.8  1.85  8.33  5.13 999  995.4   1.2   5.2 999.0 99.0
97 01 11 05 239 11.9 15.5  1.76  8.33  5.22 999  996.0   1.0   5.2 999.0 99.0
97 01 11 06 236 13.1 15.6  1.94  7.14  5.31 999  996.1   1.3   5.2 999.0 99.0
97 01 11 07 244 10.9 14.0  1.99  6.67  5.37 999  996.4    .7   5.2 999.0 99.0
97 01 11 08 242 11.7 15.1  2.09 10.00  5.95 999  996.8    .8   5.2 999.0 99.0
97 01 11 09 232 12.6 15.3  1.91  9.09  5.65 999  997.6   1.2   5.1 999.0 99.0
97 01 11 10 235 10.3 13.1  1.94 10.00  5.47 999  997.8   1.3   5.3 999.0 99.0
97 01 11 11 249  8.5 10.2  1.81  9.09  5.93 999  997.6    .5   5.2 999.0 99.0
97 01 11 12 246  7.6  9.0  1.72 11.11  5.97 999  997.8    .0   5.1 999.0 99.0
97 01 11 13 244  6.8  8.5  1.52  7.69  6.06 999  997.7    .0   5.0 999.0 99.0
97 01 11 14 271  5.3  6.8  1.38 10.00  6.14 999  996.4   -.3   4.8 999.0 99.0
97 01 11 15 274  4.6  8.4  1.17 11.11  6.17 999  996.8  -1.1   4.8 999.0 99.0
97 01 11 16 302  5.1  7.2  1.04 11.11  6.31 999  995.9  -1.2   4.8 999.0 99.0
97 01 11 17 293  6.4  8.6  1.00 11.11  6.69 999  995.6  -1.8   4.8 999.0 99.0
97 01 11 18 304  6.2  7.7   .99 11.11  6.79 999  995.4  -1.8   4.8 999.0 99.0
97 01 11 19 317  6.2  8.1   .86 11.11  6.97 999  996.0  -1.5   5.1 999.0 99.0
97 01 11 20 283  6.5  8.7   .79 11.11  6.94 999  997.1   -.7   5.1 999.0 99.0
