#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 07 50 283  3.0  4.1  0.31 12.90  6.27  86 1007.2  -4.1   4.2 999.0 99.0 99.00
2010 01 08 08 50 289  3.9  4.9  0.28 12.90  6.14 307 1006.8  -4.3   4.1 999.0 99.0 99.00
2010 01 08 09 50 324  4.1  5.4  0.29 12.90  5.61 172 1006.3  -4.3   4.1 999.0 99.0 99.00
2010 01 08 10 50 345  4.6  6.4  0.31 12.90  5.81  44 1006.3  -4.6   4.1 999.0 99.0 99.00
2010 01 08 11 50 358  3.3  4.7  0.33 11.43  5.17  89 1006.7  -4.3   4.1 999.0 99.0 99.00
2010 01 08 12 50 358  3.8  5.2  0.35 11.43  5.93 347 1006.7  -4.1   4.0 999.0 99.0 99.00
2010 01 08 13 50   7  5.7  7.3  0.36 11.43  7.50  96 1006.2  -4.2   3.9 999.0 99.0 99.00
2010 01 08 14 50   7  5.0  6.3  0.44 10.81  4.75 324 1006.4  -4.3   3.9 999.0 99.0 99.00
2010 01 08 15 50 356  4.9  6.4  0.42 10.81  4.17  82 1005.8  -4.8   3.9 999.0 99.0 99.00
2010 01 08 16 50 351  5.3  6.6  0.41 11.43  4.18 128 1004.5  -5.2   4.0 999.0 99.0 99.00
2010 01 08 17 50 354  5.1  6.5  0.38  9.09  4.28 110 1003.6  -5.3   4.0 999.0 99.0 99.00
2010 01 08 18 50 341  4.2  6.9  0.39  8.33  4.31 122 1003.1  -4.9   4.1 999.0 99.0 99.00
2010 01 08 19 50 330  4.5  5.7  0.38 10.00  4.59  93 1003.0  -4.6   4.1 999.0 99.0 99.00
2010 01 08 20 50 344  6.6  8.3  0.37 12.12  4.49 153 1003.0  -4.1   4.1 999.0 99.0 99.00
2010 01 08 21 50 349  5.6  7.5  0.40  8.33  3.53 140 1003.3  -4.6   4.2 999.0 99.0 99.00
2010 01 08 22 50 325  6.4  7.8  0.44 12.12  3.54 358 1003.5  -4.6   4.2 999.0 99.0 99.00
2010 01 08 23 50 332  6.7  8.2  0.43 10.00  3.26 132 1003.8  -4.4   4.3 999.0 99.0 99.00
2010 01 09 00 50 338  8.3 10.5  0.46 12.12  3.58 116 1004.1  -4.2   4.4 999.0 99.0 99.00
2010 01 09 01 50 340  8.6 10.8  0.56  2.74  3.18 357 1004.7  -4.1   4.4 999.0 99.0 99.00
2010 01 09 02 50 336  8.4 11.1  0.50 12.12  3.36 344 1005.0  -3.7   4.4 999.0 99.0 99.00
2010 01 09 03 50 337  9.6 12.9  0.63 12.12  3.38 355 1005.5  -3.3   4.4 999.0 99.0 99.00
2010 01 09 04 50 330  9.3 12.2  0.56  3.03  3.34 352 1005.7  -3.7   4.5 999.0 99.0 99.00
2010 01 09 05 50 327  9.6 11.7  0.59  3.23  3.31   4 1006.0  -4.0   4.5 999.0 99.0 99.00
2010 01 09 06 50 322 10.1 12.1  0.57  3.33  3.32   3 1006.4  -4.0   4.5 999.0 99.0 99.00
2010 01 09 07 50 318  9.1 11.8  0.57  3.23  3.20 354 1007.0  -3.4   4.5 999.0 99.0 99.00
2010 01 09 08 50 323  9.4 11.9  0.52  3.13  3.18 340 1007.3  -3.5   4.5 999.0 99.0 99.00
2010 01 09 09 50 313  8.2  9.8  0.47  3.03  3.28 350 1008.1  -4.3   4.5 999.0 99.0 99.00
2010 01 09 10 50 305  5.9  7.4  0.43 11.43  3.29  47 1009.1  -5.4   4.5 999.0 99.0 99.00
2010 01 09 11 50 311  5.8  7.2  0.39 11.43  3.24 348 1009.9  -5.6   4.5 999.0 99.0 99.00
2010 01 09 12 50 320  7.4  9.5  0.36 11.43  3.30 327 1010.7  -5.5   4.4 999.0 99.0 99.00
2010 01 09 13 50 319  8.5 10.6  0.45  2.94  3.02   6 1011.5  -5.0   4.3 999.0 99.0 99.00
2010 01 09 14 50 330 10.7 13.0  0.57  3.23  3.15 355 1011.9  -5.4   4.3 999.0 99.0 99.00
2010 01 09 15 50 320 10.4 12.6  0.67  3.13  3.07 348 1012.2  -5.5   4.3 999.0 99.0 99.00
2010 01 09 16 50 303  8.9 11.0  0.57  3.23  3.12 356 1012.2  -5.5   4.3 999.0 99.0 99.00
2010 01 09 17 50 326  9.9 12.1  0.51  3.23  2.94 360 1012.0  -4.9   4.3 999.0 99.0 99.00
2010 01 09 18 50 308  9.3 11.4  0.54  3.33  2.97 355 1012.2  -4.5   4.2 999.0 99.0 99.00
2010 01 09 19 50 319 10.2 12.4  0.61  3.33  3.10 339 1012.4  -4.4   4.1 999.0 99.0 99.00
2010 01 09 20 50 327  9.9 12.2  0.57  3.03  3.13 332 1013.2  -4.5   4.1 999.0 99.0 99.00
2010 01 09 21 50 333 10.1 11.7  0.56  3.23  3.11 346 1013.9  -5.0   4.2 999.0 99.0 99.00
2010 01 09 22 50 330 12.2 14.8  0.67  3.57  3.20 346 1014.3  -5.4   4.3 999.0 99.0 99.00
2010 01 09 23 50 339 10.9 12.9  0.65  3.33  3.15 349 1015.6  -6.5   4.3 999.0 99.0 99.00
2010 01 10 00 50 345 11.9 14.8  0.71  3.33  3.21 357 1016.6  -7.9   4.3 999.0 99.0 99.00
2010 01 10 01 50 341 11.0 13.5  0.82  3.70  3.38 353 1017.5  -9.0   4.2 999.0 99.0 99.00
2010 01 10 02 50 348 10.3 13.0  0.76  3.45  3.30   3 1018.2  -9.4   4.2 999.0 99.0 99.00
2010 01 10 03 50 330  8.0 10.4  0.56  3.45  3.21  18 1019.0  -9.8   4.2 999.0 99.0 99.00
2010 01 10 04 50 343  9.2 11.6  0.51  9.09  3.44 117 1019.0  -9.6   4.1 999.0 99.0 99.00
2010 01 10 05 50 330  8.1 10.1  0.55 10.81  3.37 124 1019.0  -9.5   4.1 999.0 99.0 99.00
2010 01 10 06 50 327  9.3 11.3  0.56  2.94  3.46   2 1018.9  -9.4   4.1 999.0 99.0 99.00
2010 01 10 07 50 311  6.7  9.0  0.49 10.81  3.52 116 1019.2 -10.1   4.1 999.0 99.0 99.00
